Weapon_Used,Monetary_Damage,Gun_Laws,Moon_Phase,Weather
Toy_Gun,9.377884071,Strict_Gun_Laws,Waning_Cresent,Light_Rain
Blunt_Weapon,10.04753982,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,79.48025863,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Toy_Gun,10.94300878,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,9.271970525,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,8.98236963,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,11.09052326,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,10.73297551,Strict_Gun_Laws,Waxing_Gibbous,Clear
Toy_Gun,8.777598936,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,10.64529931,Strict_Gun_Laws,Waxing_Cresent,Clear
Toy_Gun,9.188131713,Strict_Gun_Laws,New_Moon,Clear
Knife,10.27662485,Strict_Gun_Laws,First_Quarter,Light_Rain
No_Weapon,8.931138005,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,10.92265988,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,11.57856366,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,80.08394523,Strict_Gun_Laws,Full_Moon,Light_Fog
Toy_Gun,10.27473871,Strict_Gun_Laws,Full_Moon,Light_Fog
Blunt_Weapon,10.56732821,Strict_Gun_Laws,Third_Quarter,Light_Fog
Knife,10.11731873,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,81.57330224,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,10.52071705,Strict_Gun_Laws,Third_Quarter,Light_Fog
No_Weapon,10.74990212,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,9.903844938,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,9.721009434,Strict_Gun_Laws,Waning_Gibbous,Clear
No_Weapon,79.78678285,Strict_Gun_Laws,Third_Quarter,Clear
Knife,9.654052768,Strict_Gun_Laws,Waning_Gibbous,Clear
Toy_Gun,8.432891986,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,8.347969396,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,9.707471026,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,10.07033643,Strict_Gun_Laws,First_Quarter,Clear
Blunt_Weapon,8.722335182,Strict_Gun_Laws,Waxing_Cresent,Light_Rain
Blunt_Weapon,10.86694148,Strict_Gun_Laws,Waning_Cresent,Lightning_Storm
Toy_Gun,10.77235521,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,79.41036308,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,11.58370706,Strict_Gun_Laws,Third_Quarter,Clear
Knife,10.74437703,Strict_Gun_Laws,Waning_Gibbous,Clear
Blunt_Weapon,80.83878985,Strict_Gun_Laws,Full_Moon,Tornado
Blunt_Weapon,9.962817141,Strict_Gun_Laws,Waxing_Gibbous,Clear
Knife,80.17017529,Strict_Gun_Laws,Waning_Gibbous,Clear
Blunt_Weapon,80.24929916,Strict_Gun_Laws,Waning_Gibbous,Lightning_Storm
Toy_Gun,7.899534046,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,10.9753972,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,11.10754743,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,10.76107387,Strict_Gun_Laws,Full_Moon,Lightning_Storm
Blunt_Weapon,80.46945212,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Blunt_Weapon,9.197779971,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Blunt_Weapon,8.997682059,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,10.74641825,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,10.00275551,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,8.636556305,Strict_Gun_Laws,Waxing_Gibbous,Earthquake
No_Weapon,10.36746106,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,80.09076984,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,11.60824503,Strict_Gun_Laws,Waxing_Cresent,Clear
Knife,10.09900535,Strict_Gun_Laws,New_Moon,Clear
Knife,80.75231225,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,10.57250782,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,10.78272712,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,10.95149525,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,80.89176102,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,10.120053,Strict_Gun_Laws,First_Quarter,Light_Rain
Blunt_Weapon,10.29333254,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,10.3628325,Strict_Gun_Laws,Waning_Gibbous,Light_Rain
Blunt_Weapon,9.173890536,Strict_Gun_Laws,First_Quarter,Light_Fog
No_Weapon,11.97416143,Strict_Gun_Laws,Third_Quarter,Clear
Knife,9.393379665,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,79.8666647,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,8.314669802,Strict_Gun_Laws,First_Quarter,Clear
Blunt_Weapon,9.616257397,Strict_Gun_Laws,Waxing_Gibbous,Heavy_Fog
Toy_Gun,11.40620784,Strict_Gun_Laws,Full_Moon,Earthquake
Knife,10.56464711,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,80.59553744,Strict_Gun_Laws,Waning_Gibbous,Clear
Blunt_Weapon,9.204820811,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,82.05152267,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,10.32397403,Strict_Gun_Laws,Waning_Cresent,Light_Rain
Blunt_Weapon,10.80303425,Strict_Gun_Laws,Waxing_Gibbous,Clear
Toy_Gun,9.917782822,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,10.07584026,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,10.56978628,Strict_Gun_Laws,Waning_Cresent,Lightning_Storm
Blunt_Weapon,8.531771732,Strict_Gun_Laws,Waning_Gibbous,Clear
No_Weapon,80.16688202,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Blunt_Weapon,9.324145007,Strict_Gun_Laws,First_Quarter,Clear
Blunt_Weapon,9.43728446,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,79.58666456,Strict_Gun_Laws,Waning_Gibbous,Light_Rain
Knife,79.40728067,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,10.74068308,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,8.237778649,Strict_Gun_Laws,Full_Moon,Light_Fog
Blunt_Weapon,10.96101706,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,81.36151851,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,79.36274853,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,9.179289513,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,11.6608507,Strict_Gun_Laws,Waning_Gibbous,Clear
No_Weapon,79.75415169,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,9.088841208,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,78.4540595,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,10.75136423,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,9.781276888,Strict_Gun_Laws,First_Quarter,Lightning_Storm
Toy_Gun,9.721165274,Strict_Gun_Laws,Waxing_Cresent,Clear
Toy_Gun,9.37663583,Strict_Gun_Laws,Full_Moon,Clear
No_Weapon,10.91600232,Strict_Gun_Laws,Third_Quarter,Light_Rain
Toy_Gun,11.85949578,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
No_Weapon,10.97444995,Strict_Gun_Laws,Waning_Gibbous,Clear
Toy_Gun,78.90201131,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,9.551757096,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,12.00026571,Strict_Gun_Laws,Full_Moon,Light_Rain
Toy_Gun,10.71959942,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,10.39272549,Strict_Gun_Laws,Waxing_Cresent,Heavy_Fog
Knife,8.196622203,Strict_Gun_Laws,Waning_Gibbous,Clear
No_Weapon,9.874964513,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Blunt_Weapon,9.284500623,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,9.101958473,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Blunt_Weapon,10.33106882,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,9.545495461,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,81.92378784,Strict_Gun_Laws,Waning_Cresent,Lightning_Storm
Blunt_Weapon,79.60728644,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,7.682102999,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,9.606497751,Strict_Gun_Laws,Third_Quarter,Clear
Knife,11.074015,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,9.884143295,Strict_Gun_Laws,Full_Moon,Light_Rain
Knife,79.57829186,Strict_Gun_Laws,Waxing_Cresent,Lightning_Storm
No_Weapon,10.2809178,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,9.910444844,Strict_Gun_Laws,Full_Moon,Heavy_Fog
No_Weapon,7.522946059,Strict_Gun_Laws,Waning_Gibbous,Clear
Blunt_Weapon,78.82619495,Strict_Gun_Laws,Full_Moon,Clear
No_Weapon,11.17544041,Strict_Gun_Laws,Waxing_Gibbous,Lightning_Storm
Toy_Gun,80.57286797,Strict_Gun_Laws,First_Quarter,Clear
Knife,11.14278483,Strict_Gun_Laws,Full_Moon,Hurricane
Toy_Gun,79.01640771,Strict_Gun_Laws,Waning_Cresent,Lightning_Storm
Blunt_Weapon,8.488038752,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,80.39358018,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,10.09207052,Strict_Gun_Laws,Waning_Gibbous,Clear
Knife,8.537358684,Strict_Gun_Laws,Waning_Cresent,Lightning_Storm
No_Weapon,9.66173471,Strict_Gun_Laws,Third_Quarter,Heavy_Fog
Knife,11.13016672,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,81.43084422,Strict_Gun_Laws,Waxing_Gibbous,Clear
No_Weapon,9.850361053,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Toy_Gun,11.23134536,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Blunt_Weapon,79.01356338,Strict_Gun_Laws,Waxing_Cresent,Light_Fog
Blunt_Weapon,10.26048048,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,80.86645606,Strict_Gun_Laws,Waning_Cresent,Heavy_Fog
Toy_Gun,10.26706466,Strict_Gun_Laws,Waxing_Gibbous,Clear
Knife,11.55476694,Strict_Gun_Laws,First_Quarter,Clear
Knife,10.39256136,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,80.19952028,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Blunt_Weapon,80.98588838,Strict_Gun_Laws,First_Quarter,Clear
Knife,9.877030786,Strict_Gun_Laws,Third_Quarter,Heavy_Fog
Knife,8.791511335,Strict_Gun_Laws,Waning_Gibbous,Clear
Knife,80.33742005,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,8.285629363,Strict_Gun_Laws,Waxing_Gibbous,Clear
Toy_Gun,8.940697355,Strict_Gun_Laws,First_Quarter,Clear
Knife,9.747292253,Strict_Gun_Laws,Waxing_Cresent,Clear
Toy_Gun,12.96251578,Strict_Gun_Laws,Waxing_Cresent,Light_Rain
Blunt_Weapon,10.67609679,Strict_Gun_Laws,Full_Moon,Earthquake
Toy_Gun,8.033046174,Strict_Gun_Laws,Full_Moon,Lightning_Storm
Blunt_Weapon,8.199584957,Strict_Gun_Laws,First_Quarter,Clear
Knife,9.572638954,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,9.702164001,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
No_Weapon,9.874909231,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,9.650547519,Strict_Gun_Laws,Third_Quarter,Clear
Knife,9.495916364,Strict_Gun_Laws,Full_Moon,Clear
Toy_Gun,12.28898715,Strict_Gun_Laws,Waxing_Gibbous,Heavy_Fog
Blunt_Weapon,10.64786653,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,9.491329778,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,80.906757,Strict_Gun_Laws,First_Quarter,Clear
Toy_Gun,9.411082244,Strict_Gun_Laws,Full_Moon,Light_Fog
Blunt_Weapon,78.41373947,Strict_Gun_Laws,New_Moon,Clear
Knife,8.800066172,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,80.12784198,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Blunt_Weapon,9.418126429,Strict_Gun_Laws,New_Moon,Clear
Knife,10.67270803,Strict_Gun_Laws,Waxing_Gibbous,Clear
No_Weapon,9.240848137,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,11.38563584,Strict_Gun_Laws,Waxing_Cresent,Clear
Toy_Gun,10.09143871,Strict_Gun_Laws,First_Quarter,Clear
Knife,8.924668838,Strict_Gun_Laws,First_Quarter,Light_Fog
No_Weapon,78.84672585,Strict_Gun_Laws,First_Quarter,Lightning_Storm
Blunt_Weapon,10.68572669,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,10.28002549,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,10.80818124,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,10.57077576,Strict_Gun_Laws,Waxing_Gibbous,Light_Rain
Blunt_Weapon,10.72939472,Strict_Gun_Laws,New_Moon,Light_Rain
Knife,79.86550298,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,11.04311722,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,10.95044821,Strict_Gun_Laws,Full_Moon,Lightning_Storm
Blunt_Weapon,8.234926371,Strict_Gun_Laws,Waxing_Gibbous,Clear
No_Weapon,8.806029264,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,10.69633606,Strict_Gun_Laws,Waxing_Cresent,Clear
Toy_Gun,80.21219766,Strict_Gun_Laws,Full_Moon,Light_Rain
Knife,11.14636764,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,10.64822798,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,11.57905959,Strict_Gun_Laws,Waxing_Gibbous,Clear
Knife,81.08289699,Strict_Gun_Laws,Waxing_Gibbous,Clear
Knife,10.55551479,Strict_Gun_Laws,First_Quarter,Light_Rain
Blunt_Weapon,12.223907,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,10.04670942,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,78.36737802,Strict_Gun_Laws,Waning_Gibbous,Heavy_Fog
Blunt_Weapon,9.367870605,Strict_Gun_Laws,Third_Quarter,Clear
Blunt_Weapon,12.24144105,Strict_Gun_Laws,First_Quarter,Clear
Toy_Gun,9.213461163,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,9.312251306,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,10.37029495,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,9.760655705,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,80.283103,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,10.5629309,Strict_Gun_Laws,Third_Quarter,Light_Fog
No_Weapon,10.09380347,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,80.23877793,Strict_Gun_Laws,Waning_Cresent,Lightning_Storm
Blunt_Weapon,8.450878892,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,7.188230786,Strict_Gun_Laws,Full_Moon,Tornado
Knife,8.130316226,Strict_Gun_Laws,Full_Moon,Light_Fog
No_Weapon,79.92132506,Strict_Gun_Laws,Waxing_Cresent,Light_Rain
No_Weapon,10.02569615,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,9.842024393,Strict_Gun_Laws,Waning_Cresent,Clear
