"ID","SOUND"
202223,"Gargle"
299603,"Hiss"
240421,"Gargle"
297334,"Hiss"
205940,"Tick"
206240,"Tick"
200636,"Kaboom"
236259,"Kaboom"
211397,"Gargle"
248592,"Sizzle"
214751,"Tick"
297863,"Sizzle"
289404,"Sizzle"
250265,"Sizzle"
248419,"Tick"
285789,"Tick"
250297,"Gargle"
228184,"Tick"
222929,"Tick"
294339,"Sizzle"
224003,"Tick"
234176,"Sizzle"
257395,"Tick"
254899,"Hiss"
274146,"Sizzle"
238761,"Gargle"
288575,"Tick"
259079,"Gargle"
274005,"Sizzle"
250955,"Rumble"
232877,"Gargle"
252681,"Sizzle"
249686,"Tick"
204579,"Gargle"
213229,"Gargle"
234648,"Sizzle"
247190,"Tick"
271739,"Sizzle"
299065,"Gargle"
274192,"Gargle"
250888,"Sizzle"
248614,"Gargle"
253711,"Gargle"
231448,"Sizzle"
253769,"Gargle"
204441,"Tick"
263616,"Sizzle"
285688,"Rumble"
220620,"Tick"
221840,"Gargle"
279723,"Gargle"
292067,"Sizzle"
256850,"Gargle"
266365,"Kaboom"
287296,"Sizzle"
276126,"Rumble"
252811,"Gargle"
285811,"Gargle"
206526,"Sizzle"
213923,"Gargle"
242729,"Sizzle"
297960,"Gargle"
268445,"Tick"
257113,"Sizzle"
235550,"Gargle"
275405,"Hiss"
266204,"Hiss"
242662,"Gargle"
247834,"Tick"
215860,"Rumble"
210290,"Tick"
221516,"Rumble"
238905,"Rumble"
255839,"Tick"
288570,"Sizzle"
201996,"Gargle"
212241,"Gargle"
208665,"Kaboom"
216542,"Kaboom"
213708,"Tick"
254121,"Sizzle"
254072,"Gargle"
225561,"Gargle"
295274,"Gargle"
236799,"Hiss"
252608,"Sizzle"
284324,"Gargle"
202674,"Gargle"
281376,"Gargle"
279489,"Gargle"
284789,"Gargle"
239645,"Gargle"
224402,"Tick"
252523,"Rumble"
255346,"Tick"
213031,"Sizzle"
224380,"Sizzle"
208214,"Rumble"
232578,"Tick"
290460,"Tick"
228847,"Gargle"
271554,"Gargle"
286578,"Gargle"
207730,"Tick"
219110,"Tick"
285658,"Tick"
261636,"Gargle"
281432,"Gargle"
220685,"Hiss"
266372,"Tick"
253696,"Tick"
299655,"Gargle"
290631,"Gargle"
289729,"Tick"
299305,"Gargle"
203706,"Sizzle"
248002,"Sizzle"
217145,"Hiss"
242208,"Sizzle"
236802,"Tick"
214459,"Tick"
207452,"Gargle"
281611,"Gargle"
221756,"Kaboom"
257582,"Tick"
242762,"Gargle"
296093,"Gargle"
229480,"Gargle"
296664,"Sizzle"
276945,"Rumble"
227690,"Sizzle"
283095,"Hiss"
290162,"Sizzle"
252619,"Tick"
209999,"Gargle"
272697,"Sizzle"
201055,"Gargle"
232367,"Rumble"
261814,"Sizzle"
225255,"Gargle"
278700,"Gargle"
237306,"Gargle"
274922,"Sizzle"
278899,"Sizzle"
200387,"Tick"
216277,"Kaboom"
293581,"Tick"
222239,"Tick"
222533,"Sizzle"
228109,"Sizzle"
249594,"Sizzle"
206519,"Gargle"
252459,"Gargle"
220679,"Tick"
233993,"Sizzle"
226158,"Tick"
257251,"Gargle"
252992,"Tick"
202352,"Kaboom"
288075,"Gargle"
215757,"Sizzle"
278705,"Tick"
250413,"Tick"
268322,"Sizzle"
222557,"Tick"
282891,"Tick"
253774,"Tick"
293886,"Tick"
266740,"Gargle"
281341,"Sizzle"
211992,"Sizzle"
238351,"Gargle"
248517,"Gargle"
278545,"Gargle"
271833,"Tick"
298058,"Tick"
275533,"Kaboom"
275986,"Gargle"
283695,"Tick"
272535,"Gargle"
291775,"Tick"
248386,"Kaboom"
281362,"Sizzle"
211652,"Kaboom"
